Collision ID;Date;Time;Borough;Street Name;Cross Street;Latitude;Longitude;Contributing Factor;Vehicle Type;Persons Injured;Persons Killed;Pedestrians Injured;Pedestrians Killed;Cyclists Injured;Cyclists Killed;Motorists Injured;Motorists Killed
4594838;01/01/2023;11:00:00;Brooklyn;Jamaica Avenue;;4068448;-7388409;Unspecified;Passenger Vehicle;0;0;0;0;0;0;0;0
4594581;01/01/2023;03:15:00;Brooklyn;Atlantic Avenue;Logan Street;40680016;-7387743;Driver Inattention/Distraction;Passenger Vehicle;0;0;0;0;0;0;0;0
4595048;01/01/2023;06:20:00;Queens;64 Avenue;218 Street;4074648;-737589;Driver Inattention/Distraction;Passenger Vehicle;0;0;0;0;0;0;0;0
4594666;01/01/2023;13:36:00;Queens;Eliot Avenue;;4072652;-7387592;Failure to Yield Right-of-Way;Passenger Vehicle;0;0;0;0;0;0;0;0
4594552;01/01/2023;16:12:00;Brooklyn;Meeker Avenue;Frost Street;40717834;-7394761;Failure to Yield Right-of-Way;Passenger Vehicle;2;0;0;0;0;0;2;0
4594500;01/01/2023;05:01:00;Manhattan;Fdr Drive;;40710976;-7397962;Unspecified;Passenger Vehicle;0;0;0;0;0;0;0;0
4594572;01/01/2023;21:00:00;Manhattan;Saint Clair Place;;4081751;-7396069;Unspecified;Passenger Vehicle;0;0;0;0;0;0;0;0
4595015;01/01/2023;16:30:00;Brooklyn;East New York Avenue;Powell Street;40674725;-7390525;Unspecified;Passenger Vehicle;1;0;1;0;0;0;0;0
4594459;01/01/2023;03:14:00;Queens;108 Street;45 Avenue;4074788;-7385731;Driver Inattention/Distraction;Passenger Vehicle;0;0;0;0;0;0;0;0
4594784;01/01/2023;04:00:00;Manhattan;West 132 Street;Lenox Avenue;408122;-7394226;Failure to Yield Right-of-Way;Passenger Vehicle;1;0;1;0;0;0;0;0
4594359;01/01/2023;06:25:00;Brooklyn;Bushwick Avenue;Putnam Avenue;40689217;-73917656;Driver Inattention/Distraction;Passenger Vehicle;0;0;0;0;0;0;0;0
4594868;01/01/2023;20:06:00;Queens;160 Street;;40789017;-7380213;Passing Too Closely;Passenger Vehicle;1;0;0;0;0;0;1;0
4594925;01/01/2023;11:30:00;Queens;111 Street;51 Avenue;4074484;-7385225;Failure to Yield Right-of-Way;Passenger Vehicle;3;0;0;0;0;0;3;0
4594640;01/01/2023;02:50:00;Queens;142 Street;;40671326;-73798225;Passing Too Closely;Passenger Vehicle;0;0;0;0;0;0;0;0
4594735;01/01/2023;15:34:00;Queens;63 Avenue;;4073611;-73846855;Driver Inattention/Distraction;Passenger Vehicle;1;0;1;0;0;0;0;0
4594890;01/01/2023;00:34:00;Queens;84 Avenue;Smedley Street;40713543;-7381264;Alcohol Involvement;Passenger Vehicle;1;0;0;0;0;0;1;0
4594566;01/01/2023;13:00:00;Brooklyn;Carlton Avenue;;40690453;-7397233;Unspecified;Passenger Vehicle;0;0;0;0;0;0;0;0
4594437;01/01/2023;04:25:00;;Glen Street;South Avenue;;;Driver Inattention/Distraction;Passenger Vehicle;0;0;0;0;0;0;0;0
4595038;01/01/2023;02:27:00;Queens;Farrington Street;35 Avenue;40764454;-7383178;Passing Too Closely;Passenger Vehicle;0;0;0;0;0;0;0;0
4594594;01/01/2023;05:47:00;Queens;Astoria Boulevard;33 Street;;;Alcohol Involvement;Passenger Vehicle;1;0;1;0;0;0;0;0
4594585;01/01/2023;18:43:00;Brooklyn;Liberty Avenue;Autumn Avenue;40678444;-7386886;Unspecified;Passenger Vehicle;0;0;0;0;0;0;0;0
4595154;01/01/2023;04:45:00;Queens;Clearview Expressway;;40786743;-73788666;Failure to Yield Right-of-Way;Passenger Vehicle;0;0;0;0;0;0;0;0
4594718;01/01/2023;21:16:00;Brooklyn;Ocean Parkway;;40644196;-7397427;Unspecified;Passenger Vehicle;0;0;0;0;0;0;0;0
4594799;01/01/2023;21:30:00;Queens;134 Street;97 Avenue;4069468;-73814285;Driver Inattention/Distraction;Passenger Vehicle;0;0;0;0;0;0;0;0
4594854;01/01/2023;02:00:00;Staten Island;Richmond Road;;40583366;-7410835;;Not Reported;1;0;1;0;0;0;0;0
4594669;01/01/2023;03:10:00;Queens;Woodhaven Boulevard;Myrtle Avenue;40702595;-738553;Following Too Closely;Passenger Vehicle;1;0;0;0;0;0;1;0
4595058;01/01/2023;00:00:00;Manhattan;Lenox Avenue;;4079824;-7395247;Driver Inattention/Distraction;Passenger Vehicle;1;0;0;0;0;0;1;0
4594759;01/01/2023;01:30:00;Queens;Vanwyck Expressway;;40701218;-7381622;Passing or Lane Usage Improper;Passenger Vehicle;0;0;0;0;0;0;0;0
4595393;01/01/2023;21:21:00;Brooklyn;Eastern Parkway;Portal Street;40668484;-7392532;Unspecified;Scooter;1;0;0;0;0;0;0;0
4595258;01/01/2023;08:59:00;Manhattan;West 143 Street;;40825138;-739514;Unspecified;Passenger Vehicle;0;0;0;0;0;0;0;0
4595234;01/01/2023;05:50:00;Manhattan;Lexington Avenue;;40793976;-7394502;Passing or Lane Usage Improper;Passenger Vehicle;0;0;0;0;0;0;0;0
4595413;01/01/2023;05:32:00;Brooklyn;Monroe Street;;4068725;-7393507;Driver Inattention/Distraction;Passenger Vehicle;1;0;0;0;0;0;1;0
4595407;01/01/2023;18:47:00;Brooklyn;Bay Parkway;67 Street;4061269;-73982666;Driver Inattention/Distraction;Passenger Vehicle;0;0;0;0;0;0;0;0
4595466;01/01/2023;22:10:00;Brooklyn;Bedford Avenue;Williamsburg Street West;40703434;-7396035;Driver Inattention/Distraction;Bus;0;0;0;0;0;0;0;0
